product_name,product_description,product_price,product_image_url
オリジナルス,トラックパンツ（ジェンダーニュートラル）,"11,000",リサイクル素材を一部使用した、快適なトラックパンツ。
オリジナルス,アディカラー クラシックス SST トラックパンツ（ジャージ）,"8,800",リサイクル&再生可能素材を一部使用した、クラシックなトラックパンツ。
オリジナルス,アディカラー クラシックス ワッフル ベッケンバウアー トラックパンツ,"11,000",飽きのこないスリムフィットデザインの、とびきり快適なトラックパンツ。
オリジナルス,アディカラー クラシック Primeblue SST トラックパンツ（ジャージ）,"6,152",履き心地にもこだわった、クラシックスタイルのトラックパンツ。
オリジナルス,アヤックス・アムステルダム OG トラックパンツ,"11,000",リサイクル&再生可能素材を使用した、アヤックスのトラックパンツ。
オリジナルス,アディカラー クラシックス SST トラックパンツ（ジャージ）,"8,800",リサイクル&再生可能素材を一部使用した、クラシックなトラックパンツ。
オリジナルス,アディカラー クラシックス ベッケンバウアー トラックパンツ,"9,900",リサイクル&再生可能素材をブレンドした、クラシックなトラックパンツ。
スポーツウェア,ID 2.0 テーラードパンツ,"9,900",自然を大切にする、快適なナチュラルストレッチテーラードパンツ。
オリジナルス,グラフィック モノグラム トラックパンツ（ジャージ）,"11,000",リサイクル素材で作られた、ソフトな風合いのトラックパンツ。
オリジナルス,アディカラー クラシックス ベッケンバウアー トラックパンツ,"9,900",リサイクル&再生可能素材をブレンドした、クラシックなトラックパンツ。
スポーツウェア,ID 2.0 テーラードパンツ,"9,900",自然を大切にする、快適なナチュラルストレッチテーラードパンツ。
オリジナルス,アディカラー クラシックス ロックアップ トレフォイル トラックパンツ,"9,900",リサイクル素材で作られた、はき心地のよいトラックパンツ。
スポーツウェア,ティロ スーツ アドバンスド トラックパンツ（ジャージ）,"14,300",リサイクル素材を一部使用した、クラシックなトラックパンツ。
オリジナルス,アディブレイク トラックパンツ,"16,500",アディダス オリジナルスが贈る、クラシックなトラックパンツ。
サイクリング,パッド入りサイクリング ショーツ,"11,000",パーレイ・オーシャン・プラスチックを使用した、快適なサイクリングショーツ。
オリジナルス,アディダス Rekive ウーブントラックパンツ,"10,450",リサイクル素材を一部使用した、アーカイブデザインのトラックパンツ。
スポーツウェア,エッセンシャルズ フレンチテリー テーパード エラスティックカフ スリーストライプスパンツ,"5,500",一日中快適に過ごせるテーパード スウェットパンツ。
オリジナルス,エッセンシャルズ+ Made with Hemp スウェットパンツ,"8,800",毎日心地よく過ごせるように作られた、自然派スウェットパンツ。
サッカー,ティロ 23 リーグ トレーニングパンツ,"6,050",リサイクル素材で作られた、スリムなトレーニング用トラックパンツ。
ゴルフ,EX STRETCH シアサッカーアンクルパンツ,"13,200",リサイクル素材を一部使用した、伸縮性のあるシアサッカーゴルフパンツ。
バスケットボール,ドノバン・ミッチェル ショーツ,"3,135",リサイクル素材で作られた、ドノバン・ミッチェルショーツ。
オリジナルス,アディカラー クラシックス ワッフル ショーツ,"7,700",陸上競技からヒントを得た、デイリーに使える快適なショーツ。
ゴルフ,ウエストシャーリングショートパンツ,"6,293",パーレイ・オーシャン・プラスチックを一部使用したショートパンツ。
スポーツウェア,エッセンシャルズ フレンチテリー テーパード カフ ロゴパンツ,"5,500",とびきりソフトなフレンチテリーパンツ。
オリジナルス,アディダス アドベンチャー スウェットパンツ,"6,930",毎日のアドベンチャーにぴったりのスウェットパンツ。
サッカー,Condivo 22 トレーニングパンツ,"4,682",リサイクル素材で作られた、Condivo 22トレーニングパンツ。
ジム・トレーニング,Best of Adi トレーニングパンツ,"13,200",自然環境に配慮した、スリムフィットのトレーニングパンツ。
バスケットボール,アディダス バスケットボール ショーツ,"8,800",リサイクル素材を一部使用した、動きやすいバスケットボールショーツ。
ジム・トレーニング,トレイン アイコン トレーニングパンツ,"4,892",リサイクル素材を一部使用した、スリーストライプス ワークアウトパンツ。
オリジナルス,ハッピーアース ショーツ,"3,575",リサイクル素材で作られた、地球に優しいショーツ。
スポーツウェア,エッセンシャルズ フレンチテリー テーパード カフ ロゴパンツ,"5,500",とびきりソフトなフレンチテリーパンツ。
オリジナルス,アディカラー Neuclassics ショーツ,"3,850",リサイクル素材を一部使用して、クラシックなショーツを一新。
オリジナルス,スケートボーディング ウォーターショーツ（ジェンダーニュートラル）,"6,690",サーフィンにインスパイアされた、スケートボーディング ショーツ。
ゴルフ,ストレッチミニリップ 撥水 ショートパンツ,"9,350",暑い日のラウンドにぴったりの、通気性に優れたゴルフショートパンツ。
サッカー,アーセナル エッセンシャルズ トレフォイルトラックパンツ（ジャージ）,"4,950",リサイクル素材を一部使用した、スリムフィットのトラックパンツ。
オリジナルス,アンチユニバーシティ ウーブンパンツ,"11,000",リサイクル素材で作られた、大学がモチーフのウーブンパンツ。
ゴルフ,PLAY GREEN EX STRETCH ストレッチツイルパンツ,"7,700",リサイクル素材を一部使用した、カジュアルなゴルフパンツ。
テニス,エルゴ テニスショーツ,"2,744",リサイクル素材を一部使用したテニスショーツ。
ゴルフ,ファブリックミックス ショートパンツ,"6,293",リサイクル素材で作られた、マルチに使えるゴルフショーツ。
サッカー,Condivo 22 プレゼンテーションパンツ,"4,682",リサイクル素材で作られた、吸湿性に富むプレゼンテーションパンツ。
オリジナルス,アディカラー エッセンシャルズ トレフォイルパンツ,"5,592",カジュアルなデイリーウェアなら、このスポーティーなパンツがおすすめ。
オリジナルス,アディカラー クラシックス スリーストライプ 7/8 パンツ,"6,922",スリーストライプをあしらった快適な履き心地のクロップドパンツ。
オリジナルス,カモシリーズ  スウェットパンツ,"6,160",目を引くカモ柄をアクセントにした、カジュアルなフリースパンツ。
ゴルフ,ADICROSS ワイドテーパードストレッチパンツ,"13,200",
オリジナルス,スケートボーディング ウォーターショーツ（ジェンダーニュートラル）,"4,682",サーフィンにインスパイアされた、スケートボーディング ショーツ。
バスケットボール,トレイ パンツ,"6,160",リサイクル素材を使用した、トレイ・ヤングのシグネチャーパンツ。
スポーツウェア,スリーストライプス ダブルニット トラックパンツ,"6,050",リサイクル素材で作られた、心地よいフィット感のトラックパンツ。
オリジナルス,アディカラー エッセンシャルズ トレース ショーツ,"4,235",パーレイ・オーシャン・プラスチックを一部使用したデイリーショーツ。
バスケットボール,アディダス バスケットボール ヘザーショーツ,"8,800",コートの外でのんびり過ごすときにぴったりの、ヘザー調ショーツ。
ゴルフ,EX STRETCH ACTIVE スリーストライプスアンクルパンツ,"7,350",リサイクル素材を一部使用した、UVカットゴルフパンツ。
ゴルフ,ファブリックミックス ショートパンツ,"6,293",リサイクル素材で作られた、マルチに使えるゴルフショーツ。
ジム・トレーニング,テックフィット スリーストライプス トレーニングショートタイツ,"4,070",リサイクル素材を一部使用した、着圧感のあるショートタイツ。
ゴルフ,タスランストレッチ 撥水 ソリッドパンツ,"13,200",リサイクル素材を一部使用した、白熱したプレーのための伸縮性に優れたゴルフパンツ。
スポーツウェア,32チーム カフパンツ,"11,000",リサイクル素材で作られた、サッカーワールドカップ スウェットパンツ。
スポーツウェア,フューチャー アイコン スリーストライプス パンツ,"8,800",リサイクル素材を一部使用した、カジュアルなスリムパンツ。
テニス,テニス パリ HEAT. RDY 2-in-1 ショーツ,"8,800",パーレイ・オーシャン・プラスチックを一部使用した、多用途に対応するショーツ。
Y-3,Y-3 SPORT UNIFORM STRAIGHT-LEG 3-STRIPES PANTS,"54,450",Y-3のストレートレッグパンツ。
オリジナルス,アディカラー クラシックス ファイヤーバード PRIMEBLUE トラックパンツ（ジャージ）,"9,889",モダンに蘇るファイヤバード トラックパンツ。
ゴルフ,EX STRETCH ACTIVE ウエストストレッチパンツ,"7,700",リサイクル素材を一部使用した、ウエストがフィットするゴルフパンツ。
スポーツウェア,エッセンシャルズ オープンヘム パンツ,"5,500",リラックスした雰囲気の、スポーティーなパンツ。
サッカー,ティロ 23 リーグ スウェットショーツ,"4,400",ピッチを離れてリラックスするときにはきたい、ソフトなショーツ。
バスケットボール,アディダス プロ ブロックショーツ,"3,850",リサイクル&再生可能素材をブレンドした生地で作られたショーツ。
ジム・トレーニング,トレイン アイコン トレーニングパンツ,"4,892",リサイクル素材を一部使用した、スリーストライプス ワークアウトパンツ。
サッカー,ティロ 23 プロ HEAT. RDY ショーツ,"7,150",リサイクル素材で作られた、スリムフィットショーツ。
スポーツウェア,スリーストライプス ダブルニット カフヘム トラックパンツ,"6,050",リサイクル素材で作られた、快適なはき心地のトラックパンツ。
スポーツウェア,スリーストライプス ダブルニット トラックパンツ,"6,050",リサイクル素材で作られた、快適なはき心地のトラックパンツ。
ゴルフ,EX STRETCH ACTIVE 撥水ジョガーパンツ,"12,100",リサイクル&再生可能素材をブレンドした生地で作られた実用的なパンツ。
サッカー,サッカー日本代表 2022 ティロ 23 プロ パンツ,"6,050",リサイクル素材を一部使用した、トレーニングへの集中を促すパンツ。
サッカー,サッカー日本代表 2022 ホーム レプリカ ショーツ,"6,050",リサイクル素材で作られた、吸湿性に優れたホームショーツ。
スポーツウェア,Designed for Gameday パンツ,"8,990",試合に向けた集中力をサポートする、リサイクル素材を使用したパンツ。
ジム・トレーニング,テックフィット COLD. RDY トレーニング ロングタイツ,"4,235",リサイクル素材を一部用いた、寒い日に適したトレーニングタイツ。
ゴルフ,タスランストレッチ 撥水 ソリッドパンツ,"13,200",リサイクル素材を一部使用した、白熱したプレーのための伸縮性に優れたゴルフパンツ。
スポーツウェア,4CMTE パンツ,"5,225",リサイクル素材を一部使用した、伸縮性に優れたスリムトラックパンツ。
オリジナルス,アディダス オリジナルス × アンドレ・サライヴァ ショーツ,"7,370",アンドレ・サライヴァとのコラボから生まれた、自然由来のショーツ。
スポーツウェア,シティエスケープ カーゴショーツ,"7,370",パーレイ・オーシャン・プラスチックを一部用いた撥水ショーツ。
オリジナルス,アディカラー エッセンシャルズ トレフォイルパンツ,"5,592",カジュアルなデイリーウェアなら、このスポーティーなパンツがおすすめ。
サッカー,アーセナル アイコン ウーブンパンツ,"8,800",リサイクル素材を一部用いた、EQTスタイルのアーセナルパンツ。
